,ds,mech,method,metric,mean,std
0,breast_cancer,MAR,OT_PMM,MAE,0.2888446677327092,0.023980115177320835
1,breast_cancer,MAR,OT_PMM,RMSE,0.5093815751963241,0.04499146663009312
2,breast_cancer,MAR,PMM,MAE,0.3040032357729532,0.025743249244626187
3,breast_cancer,MAR,PMM,RMSE,0.5264464339084473,0.0471273415455777
4,breast_cancer,MCAR,OT_PMM,MAE,0.31965236032569305,0.0076051144409300135
5,breast_cancer,MCAR,OT_PMM,RMSE,0.5311992396340659,0.019071319958291286
6,breast_cancer,MCAR,PMM,MAE,0.3316120205075483,0.006539398099020342
7,breast_cancer,MCAR,PMM,RMSE,0.5481508376388741,0.0188267189610242
8,breast_cancer,MNAR_log,OT_PMM,MAE,0.3410241082339613,0.037037568653681206
9,breast_cancer,MNAR_log,OT_PMM,RMSE,0.5698411966871316,0.07827553590872222
10,breast_cancer,MNAR_log,PMM,MAE,0.35666893449319664,0.039049898377349485
11,breast_cancer,MNAR_log,PMM,RMSE,0.5927329955219129,0.08088670560961336
12,breast_cancer,MNAR_quant,OT_PMM,MAE,0.30408409147428817,0.05961265107419311
13,breast_cancer,MNAR_quant,OT_PMM,RMSE,0.5348930882690648,0.08819159286815924
14,breast_cancer,MNAR_quant,PMM,MAE,0.32797127245337204,0.06053421108120667
15,breast_cancer,MNAR_quant,PMM,RMSE,0.5766050643934288,0.08543370715132509
16,parkinsons,MAR,OT_PMM,MAE,0.3668229468638292,0.04345163546600192
17,parkinsons,MAR,OT_PMM,RMSE,0.6590705351555184,0.07128683870680547
18,parkinsons,MAR,PMM,MAE,0.4012834968954984,0.04081664770200994
19,parkinsons,MAR,PMM,RMSE,0.7064401441170566,0.058652398510470896
20,parkinsons,MCAR,OT_PMM,MAE,0.3786776612518204,0.015410751316374843
21,parkinsons,MCAR,OT_PMM,RMSE,0.6465679472754705,0.031972203130394006
22,parkinsons,MCAR,PMM,MAE,0.41308112518863666,0.015906192337982114
23,parkinsons,MCAR,PMM,RMSE,0.6924598055759347,0.03141703573689271
24,parkinsons,MNAR_log,OT_PMM,MAE,0.41565983614839547,0.049089907485150935
25,parkinsons,MNAR_log,OT_PMM,RMSE,0.7088260442377263,0.0858900367385246
26,parkinsons,MNAR_log,PMM,MAE,0.44723885113891,0.0530621389274485
27,parkinsons,MNAR_log,PMM,RMSE,0.7500135630405164,0.09135844538862936
28,parkinsons,MNAR_quant,OT_PMM,MAE,0.400759900569309,0.0771732895545005
29,parkinsons,MNAR_quant,OT_PMM,RMSE,0.6673674261503767,0.10896066898528474
30,parkinsons,MNAR_quant,PMM,MAE,0.47025936776517757,0.0764824654945382
31,parkinsons,MNAR_quant,PMM,RMSE,0.7658769265596387,0.1106195297049325
32,transfusion,MAR,OT_PMM,MAE,0.42379591197268207,0.09160714061004654
33,transfusion,MAR,OT_PMM,RMSE,0.8305235165945483,0.14252435406675926
34,transfusion,MAR,PMM,MAE,0.43647295103834405,0.0885650308281742
35,transfusion,MAR,PMM,RMSE,0.8522392522119719,0.1438664672940098
36,transfusion,MCAR,OT_PMM,MAE,0.4574089404128629,0.028140280657884754
37,transfusion,MCAR,OT_PMM,RMSE,0.8553080811820064,0.06052620805093763
38,transfusion,MCAR,PMM,MAE,0.4659616585770491,0.029155953378747795
39,transfusion,MCAR,PMM,RMSE,0.867866017981722,0.04809655520379734
40,transfusion,MNAR_log,OT_PMM,MAE,0.46082964625980233,0.061905972409315016
41,transfusion,MNAR_log,OT_PMM,RMSE,0.8485841936416453,0.09910162440463989
42,transfusion,MNAR_log,PMM,MAE,0.4897111188561392,0.061832299767276146
43,transfusion,MNAR_log,PMM,RMSE,0.8933939685997635,0.1043669683087385
44,transfusion,MNAR_quant,OT_PMM,MAE,0.4801107035786757,0.3369249173702312
45,transfusion,MNAR_quant,OT_PMM,RMSE,0.7702283751728028,0.49053233193176804
46,transfusion,MNAR_quant,PMM,MAE,0.4850796209416072,0.32971141480895155
47,transfusion,MNAR_quant,PMM,RMSE,0.8051255238591097,0.45033793457317384
