,ds,mech,seed,method,metric,value
0,parkinsons,MCAR,1074497555,PMM,RMSE,0.733411409059806
1,parkinsons,MCAR,1074497555,PMM,MAE,0.42944186810531565
2,parkinsons,MCAR,1074497555,OT_PMM,RMSE,0.6372151546279762
3,parkinsons,MCAR,1074497555,OT_PMM,MAE,0.378211921694915
4,parkinsons,MCAR,1102145672,PMM,RMSE,0.6710236145093242
5,parkinsons,MCAR,1102145672,PMM,MAE,0.41109555996282104
6,parkinsons,MCAR,1102145672,OT_PMM,RMSE,0.6632377532405181
7,parkinsons,MCAR,1102145672,OT_PMM,MAE,0.38833936559677995
8,parkinsons,MCAR,1130604997,PMM,RMSE,0.7051406737903134
9,parkinsons,MCAR,1130604997,PMM,MAE,0.42043442093891004
10,parkinsons,MCAR,1130604997,OT_PMM,RMSE,0.6533006674052777
11,parkinsons,MCAR,1130604997,OT_PMM,MAE,0.38514854501267076
12,parkinsons,MCAR,1171300112,PMM,RMSE,0.7128941262020179
13,parkinsons,MCAR,1171300112,PMM,MAE,0.423512482135525
14,parkinsons,MCAR,1171300112,OT_PMM,RMSE,0.6054766061690136
15,parkinsons,MCAR,1171300112,OT_PMM,MAE,0.3585859703935952
16,parkinsons,MCAR,1382689815,PMM,RMSE,0.7028035420589651
17,parkinsons,MCAR,1382689815,PMM,MAE,0.4243789350634888
18,parkinsons,MCAR,1382689815,OT_PMM,RMSE,0.6158765692281669
19,parkinsons,MCAR,1382689815,OT_PMM,MAE,0.37360457713083334
20,parkinsons,MCAR,1405681631,PMM,RMSE,0.6726037416883747
21,parkinsons,MCAR,1405681631,PMM,MAE,0.3876492406136105
22,parkinsons,MCAR,1405681631,OT_PMM,RMSE,0.6749365631133727
23,parkinsons,MCAR,1405681631,OT_PMM,MAE,0.3845237749744793
24,parkinsons,MCAR,1497586438,PMM,RMSE,0.6601025934492033
25,parkinsons,MCAR,1497586438,PMM,MAE,0.39782674815211766
26,parkinsons,MCAR,1497586438,OT_PMM,RMSE,0.6216862214725402
27,parkinsons,MCAR,1497586438,OT_PMM,MAE,0.3739565400916506
28,parkinsons,MCAR,1540770719,PMM,RMSE,0.6685457914562082
29,parkinsons,MCAR,1540770719,PMM,MAE,0.3912835588465013
30,parkinsons,MCAR,1540770719,OT_PMM,RMSE,0.6291722915229092
31,parkinsons,MCAR,1540770719,OT_PMM,MAE,0.36968108391408017
32,parkinsons,MCAR,1580016183,PMM,RMSE,0.7040659209330753
33,parkinsons,MCAR,1580016183,PMM,MAE,0.418415824788859
34,parkinsons,MCAR,1580016183,OT_PMM,RMSE,0.6409918179541114
35,parkinsons,MCAR,1580016183,OT_PMM,MAE,0.3794843702163565
36,parkinsons,MCAR,1634535062,PMM,RMSE,0.6401836728415652
37,parkinsons,MCAR,1634535062,PMM,MAE,0.38468499423298197
38,parkinsons,MCAR,1634535062,OT_PMM,RMSE,0.6501905388366712
39,parkinsons,MCAR,1634535062,OT_PMM,MAE,0.39019152720830574
40,parkinsons,MCAR,1662057957,PMM,RMSE,0.7126903739639747
