,ds,mech,seed,method,metric,value
0,transfusion,MCAR,1074497555,PMM,RMSE,0.8643270226729236
1,transfusion,MCAR,1074497555,PMM,MAE,0.48773729021691165
2,transfusion,MCAR,1074497555,OT_PMM,RMSE,0.8453723002574571
3,transfusion,MCAR,1074497555,OT_PMM,MAE,0.46238011494314574
4,transfusion,MCAR,1102145672,PMM,RMSE,0.9719247561252959
5,transfusion,MCAR,1102145672,PMM,MAE,0.5248784457678098
6,transfusion,MCAR,1102145672,OT_PMM,RMSE,0.9193303748590876
7,transfusion,MCAR,1102145672,OT_PMM,MAE,0.5030329990580458
8,transfusion,MCAR,1130604997,PMM,RMSE,0.8360882076521025
9,transfusion,MCAR,1130604997,PMM,MAE,0.48375042042430383
10,transfusion,MCAR,1130604997,OT_PMM,RMSE,0.817210210042823
11,transfusion,MCAR,1130604997,OT_PMM,MAE,0.447871907535937
12,transfusion,MCAR,1171300112,PMM,RMSE,0.8142151225151185
13,transfusion,MCAR,1171300112,PMM,MAE,0.43261756296936343
14,transfusion,MCAR,1171300112,OT_PMM,RMSE,0.7518371091412493
15,transfusion,MCAR,1171300112,OT_PMM,MAE,0.41069062261958883
16,transfusion,MCAR,1382689815,PMM,RMSE,0.910880092213484
17,transfusion,MCAR,1382689815,PMM,MAE,0.4622066775129361
18,transfusion,MCAR,1382689815,OT_PMM,RMSE,0.8456720034836145
19,transfusion,MCAR,1382689815,OT_PMM,MAE,0.45457410460209324
20,transfusion,MCAR,1405681631,PMM,RMSE,0.8759924668820469
21,transfusion,MCAR,1405681631,PMM,MAE,0.5051760939741146
22,transfusion,MCAR,1405681631,OT_PMM,RMSE,0.815058883151724
23,transfusion,MCAR,1405681631,OT_PMM,MAE,0.4480837345035306
24,transfusion,MCAR,1497586438,PMM,RMSE,0.8715447348504061
25,transfusion,MCAR,1497586438,PMM,MAE,0.4603527993220608
26,transfusion,MCAR,1497586438,OT_PMM,RMSE,0.8790525637536624
27,transfusion,MCAR,1497586438,OT_PMM,MAE,0.4789890734838975
28,transfusion,MCAR,1540770719,PMM,RMSE,0.8655081343814552
29,transfusion,MCAR,1540770719,PMM,MAE,0.4695853785621339
30,transfusion,MCAR,1540770719,OT_PMM,RMSE,0.8045098502322015
31,transfusion,MCAR,1540770719,OT_PMM,MAE,0.41235159241278896
32,transfusion,MCAR,1580016183,PMM,RMSE,0.9193250381151993
33,transfusion,MCAR,1580016183,PMM,MAE,0.4677570810546318
34,transfusion,MCAR,1580016183,OT_PMM,RMSE,0.9809552702118315
35,transfusion,MCAR,1580016183,OT_PMM,MAE,0.4869242816739584
36,transfusion,MCAR,1634535062,PMM,RMSE,0.948396152610192
37,transfusion,MCAR,1634535062,PMM,MAE,0.5092088042822617
38,transfusion,MCAR,1634535062,OT_PMM,RMSE,0.8795631569194484
39,transfusion,MCAR,1634535062,OT_PMM,MAE,0.49325587313160074
40,transfusion,MCAR,1662057957,PMM,RMSE,0.805025608359838
41,transfusion,MCAR,1662057957,PMM,MAE,0.4137839902608474
42,transfusion,MCAR,1662057957,OT_PMM,RMSE,0.8350391592488057
43,transfusion,MCAR,1662057957,OT_PMM,MAE,0.44563995710154836
44,transfusion,MCAR,1678403330,PMM,RMSE,0.8543219595333622
45,transfusion,MCAR,1678403330,PMM,MAE,0.45236366461320526
46,transfusion,MCAR,1678403330,OT_PMM,RMSE,0.8696356521723317
47,transfusion,MCAR,1678403330,OT_PMM,MAE,0.48116375131794553
48,transfusion,MCAR,1688060240,PMM,RMSE,0.8572076251841845
49,transfusion,MCAR,1688060240,PMM,MAE,0.4779806224251048
50,transfusion,MCAR,1688060240,OT_PMM,RMSE,0.8076531257704309
51,transfusion,MCAR,1688060240,OT_PMM,MAE,0.4378204036482173
52,transfusion,MCAR,1766867109,PMM,RMSE,0.8782951813082019
53,transfusion,MCAR,1766867109,PMM,MAE,0.46510365969445344
54,transfusion,MCAR,1766867109,OT_PMM,RMSE,0.8281486045205873
55,transfusion,MCAR,1766867109,OT_PMM,MAE,0.4490943273913417
56,transfusion,MCAR,1803345590,PMM,RMSE,0.8713738948450871
57,transfusion,MCAR,1803345590,PMM,MAE,0.45852392246605533
58,transfusion,MCAR,1803345590,OT_PMM,RMSE,0.8719599367849895
59,transfusion,MCAR,1803345590,OT_PMM,MAE,0.4734965634079372
60,transfusion,MCAR,1843824992,PMM,RMSE,0.8926593143415092
61,transfusion,MCAR,1843824992,PMM,MAE,0.4849676284130907
62,transfusion,MCAR,1843824992,OT_PMM,RMSE,0.9088930763199399
63,transfusion,MCAR,1843824992,OT_PMM,MAE,0.48463537491486053
64,transfusion,MCAR,184566854,PMM,RMSE,0.9357693160932945
65,transfusion,MCAR,184566854,PMM,MAE,0.4946037382257925
66,transfusion,MCAR,184566854,OT_PMM,RMSE,0.9018639817447299
67,transfusion,MCAR,184566854,OT_PMM,MAE,0.4833784306867449
68,transfusion,MCAR,191664963,PMM,RMSE,0.8814058104442923
69,transfusion,MCAR,191664963,PMM,MAE,0.45613016504766457
70,transfusion,MCAR,191664963,OT_PMM,RMSE,0.8274108301846573
71,transfusion,MCAR,191664963,OT_PMM,MAE,0.43602304415612025
72,transfusion,MCAR,1990212658,PMM,RMSE,0.8816241144976545
73,transfusion,MCAR,1990212658,PMM,MAE,0.47821869262457334
74,transfusion,MCAR,1990212658,OT_PMM,RMSE,0.841403597359782
75,transfusion,MCAR,1990212658,OT_PMM,MAE,0.46329910540407365
76,transfusion,MCAR,202244314,PMM,RMSE,0.7840460277786341
77,transfusion,MCAR,202244314,PMM,MAE,0.43299889292832405
78,transfusion,MCAR,202244314,OT_PMM,RMSE,0.7773621974959718
79,transfusion,MCAR,202244314,OT_PMM,MAE,0.4186519651726911
80,transfusion,MCAR,2095133045,PMM,RMSE,0.8216852933774083
81,transfusion,MCAR,2095133045,PMM,MAE,0.4230530427698333
82,transfusion,MCAR,2095133045,OT_PMM,RMSE,0.8227644631809791
83,transfusion,MCAR,2095133045,OT_PMM,MAE,0.4551187033419213
84,transfusion,MCAR,275121930,PMM,RMSE,0.8226508016019977
85,transfusion,MCAR,275121930,PMM,MAE,0.4564452219429225
86,transfusion,MCAR,275121930,OT_PMM,RMSE,0.8776295495985108
87,transfusion,MCAR,275121930,OT_PMM,MAE,0.46587930345338135
88,transfusion,MCAR,392022359,PMM,RMSE,0.8301507851242521
89,transfusion,MCAR,392022359,PMM,MAE,0.4458305358594265
90,transfusion,MCAR,392022359,OT_PMM,RMSE,0.8359466891985555
91,transfusion,MCAR,392022359,OT_PMM,MAE,0.43960297845638613
92,transfusion,MCAR,432652533,PMM,RMSE,0.8164539622368047
93,transfusion,MCAR,432652533,PMM,MAE,0.42440825100893736
94,transfusion,MCAR,432652533,OT_PMM,RMSE,0.8381073676467728
95,transfusion,MCAR,432652533,OT_PMM,MAE,0.44130622247082907
96,transfusion,MCAR,796282693,PMM,RMSE,0.7806208272412238
97,transfusion,MCAR,796282693,PMM,MAE,0.41399588971407064
98,transfusion,MCAR,796282693,OT_PMM,RMSE,0.7265988836902567
99,transfusion,MCAR,796282693,OT_PMM,MAE,0.38756798645306967
100,transfusion,MCAR,864178266,PMM,RMSE,0.8368431606943345
101,transfusion,MCAR,864178266,PMM,MAE,0.444273144835682
102,transfusion,MCAR,864178266,OT_PMM,RMSE,0.9008954797104503
103,transfusion,MCAR,864178266,OT_PMM,MAE,0.46363185900387677
104,transfusion,MCAR,929893137,PMM,RMSE,0.8676156000453099
105,transfusion,MCAR,929893137,PMM,MAE,0.4825608698939407
106,transfusion,MCAR,929893137,OT_PMM,RMSE,0.8219815505430921
107,transfusion,MCAR,929893137,OT_PMM,MAE,0.45390994040199867
108,transfusion,MCAR,942484272,PMM,RMSE,0.9207343388768863
109,transfusion,MCAR,942484272,PMM,MAE,0.5147825366244915
110,transfusion,MCAR,942484272,OT_PMM,RMSE,1.0036437977898014
111,transfusion,MCAR,942484272,OT_PMM,MAE,0.515087375678363
112,transfusion,MCAR,952224740,PMM,RMSE,0.8852218467256245
113,transfusion,MCAR,952224740,PMM,MAE,0.4752576938709267
114,transfusion,MCAR,952224740,OT_PMM,RMSE,0.8781218388031891
115,transfusion,MCAR,952224740,OT_PMM,MAE,0.46259671604169117
116,transfusion,MCAR,967196436,PMM,RMSE,0.9340733431235363
117,transfusion,MCAR,967196436,PMM,MAE,0.48029704000560286
118,transfusion,MCAR,967196436,OT_PMM,RMSE,0.9456209316432609
119,transfusion,MCAR,967196436,OT_PMM,MAE,0.4662098999183032
120,transfusion,MAR,1074497555,PMM,RMSE,0.6691796493270957
121,transfusion,MAR,1074497555,PMM,MAE,0.35924187549997216
122,transfusion,MAR,1074497555,OT_PMM,RMSE,0.7822691986939377
123,transfusion,MAR,1074497555,OT_PMM,MAE,0.42349539031876243
124,transfusion,MAR,1102145672,PMM,RMSE,0.6623634421996955
125,transfusion,MAR,1102145672,PMM,MAE,0.3503585798029169
126,transfusion,MAR,1102145672,OT_PMM,RMSE,0.6224232468888916
127,transfusion,MAR,1102145672,OT_PMM,MAE,0.3287294458617677
128,transfusion,MAR,1130604997,PMM,RMSE,0.8792822280866532
129,transfusion,MAR,1130604997,PMM,MAE,0.4078393970543458
130,transfusion,MAR,1130604997,OT_PMM,RMSE,0.7802492075551455
131,transfusion,MAR,1130604997,OT_PMM,MAE,0.36456452340377654
132,transfusion,MAR,1171300112,PMM,RMSE,1.0142901725221622
133,transfusion,MAR,1171300112,PMM,MAE,0.46327461994744296
134,transfusion,MAR,1171300112,OT_PMM,RMSE,1.0116375318530484
135,transfusion,MAR,1171300112,OT_PMM,MAE,0.44995490261141063
136,transfusion,MAR,1382689815,PMM,RMSE,0.8061925859849722
137,transfusion,MAR,1382689815,PMM,MAE,0.4665952536903724
138,transfusion,MAR,1382689815,OT_PMM,RMSE,0.8675562467193991
139,transfusion,MAR,1382689815,OT_PMM,MAE,0.4816545616152843
140,transfusion,MAR,1405681631,PMM,RMSE,0.5956820884628314
141,transfusion,MAR,1405681631,PMM,MAE,0.32921060259588286
142,transfusion,MAR,1405681631,OT_PMM,RMSE,0.6283789394013258
143,transfusion,MAR,1405681631,OT_PMM,MAE,0.33564520820250293
144,transfusion,MAR,1497586438,PMM,RMSE,0.9526930122970322
145,transfusion,MAR,1497586438,PMM,MAE,0.47622738448916924
146,transfusion,MAR,1497586438,OT_PMM,RMSE,0.9008425805053163
147,transfusion,MAR,1497586438,OT_PMM,MAE,0.44493724761982145
148,transfusion,MAR,1540770719,PMM,RMSE,0.8628464964327385
149,transfusion,MAR,1540770719,PMM,MAE,0.4534523181046857
150,transfusion,MAR,1540770719,OT_PMM,RMSE,0.8694308011415303
151,transfusion,MAR,1540770719,OT_PMM,MAE,0.47098105734219914
152,transfusion,MAR,1580016183,PMM,RMSE,0.9416990674209323
153,transfusion,MAR,1580016183,PMM,MAE,0.46972448755518276
154,transfusion,MAR,1580016183,OT_PMM,RMSE,0.917195467521321
155,transfusion,MAR,1580016183,OT_PMM,MAE,0.4577274698771502
156,transfusion,MAR,1634535062,PMM,RMSE,1.0963044946782567
157,transfusion,MAR,1634535062,PMM,MAE,0.6042636603362328
158,transfusion,MAR,1634535062,OT_PMM,RMSE,1.0769170356276476
159,transfusion,MAR,1634535062,OT_PMM,MAE,0.6174946910198489
160,transfusion,MAR,1662057957,PMM,RMSE,1.0743995132183637
161,transfusion,MAR,1662057957,PMM,MAE,0.5749052753613887
162,transfusion,MAR,1662057957,OT_PMM,RMSE,0.8891413347815539
163,transfusion,MAR,1662057957,OT_PMM,MAE,0.49840675756237995
164,transfusion,MAR,1678403330,PMM,RMSE,0.9452572839194444
165,transfusion,MAR,1678403330,PMM,MAE,0.5023404727966782
166,transfusion,MAR,1678403330,OT_PMM,RMSE,1.0266401057586183
167,transfusion,MAR,1678403330,OT_PMM,MAE,0.5325822272135968
168,transfusion,MAR,1688060240,PMM,RMSE,0.9365099283907785
